City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
452,bhasawar,27.0333,77.0333,22.45,38,0,3.81,IN,1674379228
453,illapel,-31.6308,-71.1653,18.25,83,2,0.79,CL,1674379229
454,mount isa,-20.7333,139.5,34.87,14,12,4.12,AU,1674379084
455,opuwo,-18.0607,13.84,21.43,56,94,1.03,NA,1674378935
456,vila franca do campo,37.7167,-25.4333,15.23,80,64,3.04,PT,1674379230
457,pativilca,-10.7,-77.7833,20.59,81,97,1.56,PE,1674379231
458,port lincoln,-34.7333,135.8667,18.87,73,0,7.46,AU,1674379232
459,san policarpo,12.1791,125.5072,26.21,83,99,7.28,PH,1674379232
460,botwood,49.1499,-55.3482,-2.83,92,100,5.41,CA,1674379233
461,ust-barguzin,53.45,108.9833,-27.22,94,100,3.9,RU,1674379233
462,awjilah,29.1081,21.2869,15.06,37,26,4.53,LY,1674379234
463,horconcitos,8.4682,-81.8007,16.79,91,31,2.42,PA,1674379235
464,olsztyn,53.7799,20.4942,-0.02,91,100,3.54,PL,1674379235
465,sangueya,10.7,-14.3667,22.84,52,11,1.65,GN,1674379236
466,wapi pathum,15.8452,103.3768,32.4,16,94,1.68,TH,1674379237
467,jalu,29.0331,21.5482,14.95,38,48,4.28,LY,1674379237
468,koslan,63.4564,48.8989,-12.42,99,100,1.73,RU,1674379238
469,laguna de perlas,12.3429,-83.6712,23.77,85,10,4.44,NI,1674379238
470,mto wa mbu,-3.35,35.85,28.38,35,100,1.16,TZ,1674379239
471,yaan,7.3833,8.5667,30.15,39,25,2.4,NG,1674379240
472,petropavlovsk-kamchatskiy,53.0452,158.6483,-20.67,59,0,3.0,RU,1674379240
473,kamina,-8.7386,24.9906,19.97,80,100,2.16,CD,1674379241
474,pringsewu,-5.3582,104.9744,26.74,84,91,3.08,ID,1674379242
475,khandbari,27.3747,87.2039,21.02,26,0,3.06,NP,1674379242
476,naron,43.5167,-8.1528,7.24,76,100,2.73,ES,1674379243
477,lakhnadon,22.6,79.6,28.36,27,12,4.32,IN,1674379243
478,beyneu,45.3167,55.2,2.53,45,0,7.96,KZ,1674379244
479,wasilla,61.5814,-149.4394,-6.26,84,0,2.57,US,1674379245
480,peniche,39.3558,-9.3811,10.81,72,2,3.37,PT,1674379055
481,gayny,60.3071,54.3241,-4.39,96,100,2.47,RU,1674379246
482,merrill,45.1805,-89.6835,-8.44,92,100,0.0,US,1674379246
483,egvekinot,66.3167,-179.1667,-30.35,81,2,3.96,RU,1674379247
484,sokoni,-6.4333,39.55,26.95,80,100,6.75,TZ,1674379247
485,labuan,5.2767,115.2417,28.2,78,40,2.06,MY,1674379248
486,port augusta,-32.5,137.7667,25.4,50,0,9.65,AU,1674379161
487,hohhot,40.8106,111.6522,-5.84,49,100,5.0,CN,1674379249
488,pontianak,-0.0333,109.3333,28.99,79,40,2.57,ID,1674379249
489,kumbo,6.2,10.6667,22.88,18,98,1.49,CM,1674379250
490,nenjiang,49.1833,125.2167,-35.91,95,13,0.75,CN,1674379251
491,tevaitoa,-16.7833,-151.5,26.78,71,85,3.0,PF,1674379252
492,staraya kulatka,52.7167,47.6167,-7.56,86,99,1.87,RU,1674379252
493,yala,6.3333,101.25,25.33,90,94,1.99,TH,1674379253
494,kalabo,-14.97,22.6814,20.27,89,100,5.04,ZM,1674379253
495,borovskoy,53.8,64.15,-8.42,78,27,3.08,KZ,1674379254
496,wageningen,51.9667,5.6667,0.62,90,100,5.14,NL,1674379254
497,maniitsoq,65.4167,-52.9,-5.73,89,100,7.65,GL,1674379255
498,north bend,43.4065,-124.2243,4.95,99,75,3.6,US,1674379256
499,roma,43.2128,-75.4557,-0.92,80,100,2.57,US,1674379256
500,black diamond,47.3087,-122.0032,4.59,86,100,0.45,US,1674379241
501,namibe,-15.1961,12.1522,23.38,74,100,1.98,AO,1674379257
502,lamu,-2.2717,40.902,32.12,76,99,8.94,KE,1674379258
503,hirara,24.8,125.2833,22.15,78,75,6.69,JP,1674379258
504,mailsi,29.8003,72.1758,20.59,21,1,2.83,PK,1674379259
505,ohafia,5.6167,7.8333,30.95,54,64,1.27,NG,1674379259
506,yichang,30.7144,111.2847,11.86,40,48,1.44,CN,1674379260
507,haradok,55.4624,29.9816,-0.94,83,20,1.97,BY,1674379261
508,jaffna,9.6685,80.0074,25.28,75,100,5.62,LK,1674379262
509,glenwood springs,39.5505,-107.3248,-10.55,89,43,0.7,US,1674379152
510,mana,5.6592,-53.7767,23.54,92,44,3.9,GF,1674379263
511,moisakula,58.0922,25.1864,-3.71,90,88,3.34,EE,1674379263
512,den helder,52.9599,4.7593,2.21,77,100,8.94,NL,1674379264
513,saint-louis,16.3333,-15.0,19.26,41,7,2.88,SN,1674379265
514,muros,42.7762,-9.0603,4.91,90,80,4.18,ES,1674379265
515,erdenet,49.0333,104.0833,-28.74,92,100,0.76,MN,1674379266
516,tselinnoye,53.0833,85.6667,-23.93,93,16,1.66,RU,1674379267
517,qui nhon,13.7667,109.2333,24.29,85,100,4.34,VN,1674379267
518,virar,19.4667,72.8,26.05,46,2,6.38,IN,1674379268
519,gazli,40.1333,63.45,-1.01,52,23,1.19,UZ,1674379268
520,pacifica,37.6138,-122.4869,10.07,88,75,1.79,US,1674379124
521,magistralnyy,56.1725,107.4458,-38.98,95,76,0.86,RU,1674379269
522,rodrigues alves,-7.738,-72.6509,20.85,99,78,1.1,BR,1674379270
523,burgeo,47.6167,-57.6152,-2.85,70,98,6.19,CA,1674379271
524,mountain home,43.133,-115.6912,-7.14,92,100,1.54,US,1674379271
525,sretensk,52.2453,117.7093,-36.28,98,97,1.16,RU,1674379272
526,talcahuano,-36.7167,-73.1167,13.82,88,0,3.09,CL,1674379273
527,makaryev,57.8797,43.8069,-7.57,92,100,2.21,RU,1674379274
528,wote,-1.7808,37.6288,27.36,40,100,3.81,KE,1674379274
529,linjiang,41.8069,126.9078,-8.2,98,100,0.19,CN,1674379275
530,linfen,36.0889,111.5189,1.99,50,55,0.36,CN,1674379276
531,labuhan,-6.8844,112.2051,29.01,74,59,3.47,ID,1674379277
532,mocuba,-16.8392,36.9856,30.43,55,95,4.08,MZ,1674379277
533,panguipulli,-39.6333,-72.3333,11.11,99,20,0.93,CL,1674379278
534,tarata,-17.6167,-66.0167,17.68,71,65,1.99,BO,1674379278
535,mindelo,16.8901,-24.9804,20.75,60,75,7.2,CV,1674379279
536,murgab,37.4966,61.9714,1.93,64,0,5.14,TM,1674379279
537,hit,33.6416,42.8251,16.3,40,0,1.87,IQ,1674379280
538,kangaatsiaq,68.3065,-53.4641,-25.33,76,100,9.17,GL,1674379281
539,palmares do sul,-30.2578,-50.5097,23.61,83,100,2.46,BR,1674379084
540,nalut,30.3333,10.85,11.8,44,1,4.68,LY,1674379282
541,skibbereen,51.55,-9.2667,10.06,97,100,5.86,IE,1674379282
542,mikhaylovka,50.06,43.2379,-2.9,73,97,5.85,RU,1674379283
543,viedma,-40.8135,-62.9967,19.1,68,2,4.16,AR,1674379284
544,calexico,32.679,-115.4989,6.12,59,0,2.06,US,1674379284
545,lucea,18.451,-78.1736,23.92,79,6,3.64,JM,1674379285
546,mirnyy,62.5353,113.9611,-35.64,94,97,4.1,RU,1674379123
547,bharatpur,27.2167,77.4833,22.65,36,8,3.28,IN,1674379286
548,gimli,50.6336,-96.9907,-14.99,85,97,0.51,CA,1674379286
549,narsaq,60.9167,-46.05,-15.88,63,24,5.1,GL,1674379287
550,tuatapere,-46.1333,167.6833,11.69,75,99,2.88,NZ,1674379288
551,chumikan,54.7183,135.315,-28.73,82,65,7.96,RU,1674379288
552,kloulklubed,7.0419,134.2556,23.28,79,100,8.31,PW,1674379289
553,mayumba,-3.432,10.6554,27.25,75,100,0.49,GA,1674379040
554,namwala,-15.7504,26.4384,19.25,96,100,1.93,ZM,1674379290
555,selikhino,50.3672,137.4996,-26.43,96,100,3.34,RU,1674379291
556,hazorasp,41.3194,61.0742,-1.09,48,0,4.44,UZ,1674379292
557,pacific grove,36.6177,-121.9166,6.61,76,0,3.09,US,1674379292
558,lomovka,53.9194,58.3672,-2.53,72,99,2.01,RU,1674379293
559,mortka,59.3322,66.0214,-3.87,95,100,3.54,RU,1674379293
560,dongli,23.5656,116.8194,17.99,88,40,2.0,CN,1674379294
